Batsman,Bowler,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W,Balls Faced
NLTC Perera,SP Narine,0.555555556,0.111111111,0.333333333,0,0,0,0,9
V Kohli,JJ Bumrah,0.25,0.5,0,0,0.25,0,0,4
SR Watson,NLTC Perera,0.142857143,0.142857143,0,0,0.714285714,0,0,7
SA Yadav,A Mishra,0,1,0,0,0,0,0,1
S Gopal,R Bhatia,1,0,0,0,0,0,0,9
V Kohli,J Yadav,0.4,0.2,0.2,0,0.2,0,0,5
S Gopal,MR Marsh,0.666666667,0.333333333,0,0,0,0,0,3
AM Rahane,SB Jakati,0.2,0.4,0,0,0.4,0,0,5
B Kumar,Z Khan,0,0.5,0,0,0.5,0,0,2
KK Nair,PP Chawla,0.25,0.5,0,0,0.25,0,0,4
KH Pandya,Imran Tahir,0.0625,0.375,0.125,0.0625,0.25,0.125,0,16
AR Patel,CR Brathwaite,0.7,0.2,0,0,0.1,0,0,10
Sachin Baby,TG Southee,0.5,0.25,0,0,0.25,0,0,4
MK Pandey,R Ashwin,0.333333333,0.333333333,0,0.333333333,0,0,0,3
G Gambhir,NM Coulter-Nile,0.583333333,0.25,0,0,0.166666667,0,0,12
Harbhajan Singh,BB Sran,0.5,0.5,0,0,0,0,0,2
TG Southee,CH Morris,0,1,0,0,0,0,0,1
B Kumar,NM Coulter-Nile,0.166666667,0.333333333,0.166666667,0,0.166666667,0,0.166666667,6
Shakib Al Hasan,SB Jakati,0,1,0,0,0,0,0,2
YK Pathan,R Ashwin,0.285714286,0.142857143,0,0,0.285714286,0.285714286,0,7
SPD Smith,AD Russell,0,0.333333333,0.333333333,0,0.333333333,0,0,3
Q de Kock,Parvez Rasool,0.25,0.25,0.166666667,0,0.333333333,0,0,12
MC Henriques,HV Patel,0.5,0.375,0,0,0.125,0,0,8
S Dhawan,M Vijay,0.5,0.5,0,0,0,0,0,4
MS Dhoni,R Dhawan,0,1,0,0,0,0,0,3
SK Raina,AD Russell,0.5,0,0,0,0,0,0.5,2
Q de Kock,A Nehra,0.5,0.1,0,0,0.3,0.1,0,10
DR Smith,R Bhatia,0,0.5,0,0.166666667,0.166666667,0.166666667,0,6
KD Karthik,AD Russell,0.4,0.2,0,0,0.4,0,0,5
Shakib Al Hasan,JA Morkel,1,0,0,0,0,0,0,1
Sandeep Sharma,CR Brathwaite,0,1,0,0,0,0,0,1
AT Rayudu,R Ashwin,0.4,0.3,0,0,0,0.1,0.2,10
SS Iyer,S Aravind,0.833333333,0,0,0,0,0,0.166666667,6
MS Dhoni,MC Henriques,0.333333333,0.333333333,0,0,0.333333333,0,0,3
HM Amla,Yuvraj Singh,0,0.666666667,0,0,0.333333333,0,0,3
SE Marsh,YK Pathan,0,1,0,0,0,0,0,2
N Rana,MP Stoinis,0.571428571,0.285714286,0,0,0,0,0.142857143,7
RA Jadeja,SP Narine,0.4,0.4,0.2,0,0,0,0,5
Shakib Al Hasan,R Bhatia,0.666666667,0,0,0,0,0,0.333333333,3
UT Khawaja,A Mishra,0.714285714,0.142857143,0,0,0,0,0.142857143,7
Gurkeerat Singh,B Kumar,0.333333333,0,0,0,0.333333333,0,0.333333333,3
MC Henriques,MJ McClenaghan,0.333333333,0.666666667,0,0,0,0,0,3
GJ Maxwell,YK Pathan,0.6,0.4,0,0,0,0,0,5
Parvez Rasool,A Nehra,0,0.5,0.5,0,0,0,0,2
WP Saha,Harbhajan Singh,0.230769231,0.384615385,0.230769231,0,0.076923077,0.076923077,0,13
SPD Smith,P Kumar,0.090909091,0.272727273,0.272727273,0,0.363636364,0,0,11
YK Pathan,S Kaushik,0,0.5,0,0,0.25,0.25,0,4
KP Pietersen,KW Richardson,0.5,0,0,0,0,0,0.5,2
S Dhawan,NM Coulter-Nile,0.428571429,0.428571429,0,0,0.142857143,0,0,7
DA Miller,KA Pollard,0,0.666666667,0,0,0,0.333333333,0,3
YK Pathan,AR Patel,0,1,0,0,0,0,0,3
G Gambhir,TG Southee,0.434782609,0.304347826,0.043478261,0,0.217391304,0,0,23
BB McCullum,SR Watson,0.333333333,0.333333333,0,0,0.333333333,0,0,3
KV Sharma,SP Narine,0,1,0,0,0,0,0,2
BB McCullum,T Shamsi,0.333333333,0.333333333,0,0,0.166666667,0,0.166666667,6
P Kumar,MJ McClenaghan,0.666666667,0,0,0,0,0,0.333333333,3
SE Marsh,CR Brathwaite,0,1,0,0,0,0,0,1
Ankit Sharma,SR Watson,1,0,0,0,0,0,0,1
KV Sharma,HV Patel,0.428571429,0.142857143,0.285714286,0,0.142857143,0,0,7
S Dhawan,PV Tambe,0.285714286,0.571428571,0.142857143,0,0,0,0,7
NS Naik,Mustafizur Rahman,0.7,0.1,0.1,0,0,0,0.1,10
Ankit Sharma,KW Richardson,0,0.5,0.5,0,0,0,0,2
RA Jadeja,MJ McClenaghan,0.4,0.2,0,0,0.4,0,0,5
KL Rahul,Sandeep Sharma,0.5,0,0,0,0.5,0,0,2
STR Binny,A Mishra,0.4,0.2,0.2,0,0.2,0,0,5
YK Pathan,R Bhatia,0.363636364,0.454545455,0,0,0.090909091,0,0.090909091,11
SP Narine,Z Khan,0.5,0.5,0,0,0,0,0,2
MA Agarwal,JW Hastings,0.75,0.25,0,0,0,0,0,4
Gurkeerat Singh,R Ashwin,0.272727273,0.272727273,0.090909091,0,0.181818182,0.090909091,0.090909091,11
UT Khawaja,M Morkel,0.6,0.2,0,0,0.2,0,0,10
Yuvraj Singh,Sandeep Sharma,0,0.75,0,0,0,0.25,0,4
BB McCullum,I Sharma,0.5,0.25,0,0,0,0,0.25,4
RG Sharma,Shakib Al Hasan,0,1,0,0,0,0,0,6
WP Saha,PP Chawla,0.545454545,0.181818182,0.090909091,0,0.090909091,0,0.090909091,11
KA Pollard,SB Jakati,0.5,0.5,0,0,0,0,0,2
KD Karthik,Sandeep Sharma,0.5,0.5,0,0,0,0,0,2
KK Nair,KC Cariappa,0.166666667,0.5,0.166666667,0,0,0,0.166666667,6
BB McCullum,R Bhatia,0.222222222,0.666666667,0,0,0,0,0.111111111,9
AM Rahane,Sandeep Sharma,0.631578947,0.105263158,0,0,0.157894737,0,0.105263158,19
AB de Villiers,PP Chawla,0.25,0.416666667,0.166666667,0,0.083333333,0,0.083333333,12
MK Pandey,CJ Jordan,0.333333333,0.666666667,0,0,0,0,0,6
RA Jadeja,Sandeep Sharma,0.333333333,0.666666667,0,0,0,0,0,3
MC Henriques,Shakib Al Hasan,0.571428571,0.285714286,0.142857143,0,0,0,0,7
RR Pant,RA Jadeja,0.666666667,0,0,0,0,0,0.333333333,3
SV Samson,Harbhajan Singh,0.230769231,0.538461538,0.076923077,0,0.076923077,0.076923077,0,13
MG Johnson,Z Khan,0,1,0,0,0,0,0,1
MS Dhoni,Gurkeerat Singh,0,1,0,0,0,0,0,1
SV Samson,Yuvraj Singh,0.25,0.5,0,0,0,0.25,0,4
DA Miller,SR Watson,0.5,0,0,0,0,0,0.5,2
HM Amla,YS Chahal,0.333333333,0.444444444,0,0,0.222222222,0,0,9
MP Stoinis,CJ Jordan,0.2,0.2,0.3,0,0.2,0.1,0,10
JP Faulkner,Mohammed Shami,0,1,0,0,0,0,0,2
G Gambhir,KH Pandya,0,0.428571429,0.285714286,0,0.142857143,0.142857143,0,7
NLTC Perera,MJ McClenaghan,0.5,0.333333333,0.166666667,0,0,0,0,6
SB Jakati,CJ Jordan,0.5,0.5,0,0,0,0,0,2
C Munro,MC Henriques,0.333333333,0.666666667,0,0,0,0,0,3
WP Saha,Shakib Al Hasan,0.5,0.25,0.25,0,0,0,0,4
V Kohli,DS Kulkarni,0.2,0.5,0.1,0,0.1,0.05,0.05,20
SK Raina,S Aravind,0.75,0.25,0,0,0,0,0,4
DR Smith,YS Chahal,0.36,0.28,0.04,0,0.12,0.16,0.04,25
F du Plessis,Bipul Sharma,0,0.5,0,0,0.25,0.25,0,4
JC Buttler,Iqbal Abdulla,0.222222222,0.333333333,0,0,0.111111111,0.222222222,0.111111111,9
RV Uthappa,B Kumar,0.384615385,0.346153846,0.076923077,0,0.192307692,0,0,26
AJ Finch,A Nehra,0.6,0.4,0,0,0,0,0,5
SV Samson,YS Chahal,0.285714286,0.285714286,0,0,0.142857143,0.142857143,0.142857143,7
MK Pandey,MM Sharma,0,0.666666667,0,0,0.333333333,0,0,3
SV Samson,TG Southee,0.428571429,0.571428571,0,0,0,0,0,7
A Ashish Reddy,YS Chahal,0.571428571,0.142857143,0,0,0,0.285714286,0,7
BB McCullum,Mustafizur Rahman,0.666666667,0.333333333,0,0,0,0,0,6
EJG Morgan,Shakib Al Hasan,0.363636364,0.454545455,0.090909091,0,0,0.090909091,0,11
DJ Bravo,DJ Hooda,0,1,0,0,0,0,0,3
EJG Morgan,AF Milne,0,1,0,0,0,0,0,2
JC Buttler,Bipul Sharma,0.2,0.6,0.2,0,0,0,0,5
MC Henriques,P Kumar,0.333333333,0.333333333,0,0,0.333333333,0,0,3
RA Jadeja,Mustafizur Rahman,0.272727273,0.454545455,0.090909091,0,0,0,0.181818182,11
RG Sharma,AB Dinda,0,0.5,0,0,0.5,0,0,4
GJ Bailey,B Kumar,0.666666667,0.333333333,0,0,0,0,0,9
AJ Finch,AS Rajpoot,0.5,0.25,0.25,0,0,0,0,4
G Gambhir,MC Henriques,0.272727273,0.363636364,0.090909091,0,0.181818182,0,0.090909091,11
YK Pathan,DJ Hooda,0,0.5,0,0,0.5,0,0,2
SV Samson,Parvez Rasool,0.4,0.4,0.2,0,0,0,0,5
KA Pollard,KC Cariappa,0.375,0.375,0,0,0,0.25,0,8
GJ Bailey,Z Khan,1,0,0,0,0,0,0,2
HM Amla,CJ Jordan,0,1,0,0,0,0,0,3
CH Gayle,PP Chawla,0.333333333,0.333333333,0,0,0,0.333333333,0,3
JP Duminy,SR Watson,0.5,0,0.25,0,0.25,0,0,4
A Nehra,NM Coulter-Nile,0,1,0,0,0,0,0,1
SA Yadav,CH Morris,0,0.75,0.25,0,0,0,0,4
RA Jadeja,CH Morris,0,0.5,0.5,0,0,0,0,2
CH Gayle,P Kumar,0.8125,0.125,0,0,0.0625,0,0,16
SA Yadav,M Ashwin,0.571428571,0.285714286,0,0,0.071428571,0,0.071428571,14
Shakib Al Hasan,P Kumar,0,0.5,0,0,0.5,0,0,4
KA Pollard,Z Khan,0.25,0.375,0.125,0,0,0.125,0.125,8
NV Ojha,Shakib Al Hasan,0,1,0,0,0,0,0,3
S Dhawan,YK Pathan,0.4,0.6,0,0,0,0,0,5
JC Buttler,A Nehra,0.333333333,0,0.333333333,0,0,0,0.333333333,3
SW Billings,AD Russell,1,0,0,0,0,0,0,1
DA Warner,DJ Bravo,0.35,0.4,0.15,0,0.1,0,0,20
DA Warner,Z Khan,0.571428571,0.428571429,0,0,0,0,0,7
AT Rayudu,DJ Bravo,0.333333333,0.666666667,0,0,0,0,0,3
AT Rayudu,JD Unadkat,0.25,0,0,0,0.75,0,0,4
AJ Finch,MP Stoinis,0.125,0.5,0,0,0.375,0,0,8
RV Uthappa,NM Coulter-Nile,0.666666667,0,0,0,0.333333333,0,0,9
AM Rahane,UT Yadav,0,0.75,0,0,0,0.25,0,4
SPD Smith,KH Pandya,0.5,0.333333333,0,0,0,0.166666667,0,6
KA Pollard,Iqbal Abdulla,0.5,0.5,0,0,0,0,0,2
NV Ojha,SR Watson,0.666666667,0.333333333,0,0,0,0,0,3
WP Saha,CJ Jordan,0.2,0.2,0.2,0,0.4,0,0,5
YK Pathan,YS Chahal,0.222222222,0.555555556,0.111111111,0,0,0,0.111111111,9
SE Marsh,B Kumar,0.6,0.2,0,0,0.2,0,0,5
DA Warner,CJ Jordan,0.5,0.25,0,0,0.25,0,0,8
AB de Villiers,AR Patel,0.222222222,0.555555556,0.222222222,0,0,0,0,9
UT Khawaja,AD Russell,0.2,0.2,0.2,0.2,0.2,0,0,5
KA Pollard,MC Henriques,0.5,0.333333333,0,0,0,0,0.166666667,6
MP Stoinis,Mohammed Shami,0.5,0.333333333,0.166666667,0,0,0,0,6
Q de Kock,BB Sran,0.5,0.2,0,0,0.1,0.1,0.1,10
KP Pietersen,Harbhajan Singh,0.333333333,0.333333333,0.111111111,0,0,0.222222222,0,9
AR Patel,Shakib Al Hasan,0,0.666666667,0.333333333,0,0,0,0,3
KK Nair,AB Dinda,0.5,0.1875,0,0,0.3125,0,0,16
S Dhawan,MJ McClenaghan,0.222222222,0.555555556,0,0,0.222222222,0,0,9
GJ Maxwell,SP Narine,0.333333333,0.333333333,0,0,0,0,0.333333333,3
RA Jadeja,YK Pathan,0.5,0.5,0,0,0,0,0,2
CH Gayle,Sandeep Sharma,0.714285714,0.285714286,0,0,0,0,0,7
KM Jadhav,Mustafizur Rahman,0.363636364,0.363636364,0.181818182,0,0,0.090909091,0,11
Q de Kock,GJ Maxwell,1,0,0,0,0,0,0,2
KH Pandya,A Nehra,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,7
M Vijay,YS Chahal,0.333333333,0.333333333,0.111111111,0,0.222222222,0,0,9
KD Karthik,JP Duminy,0.3,0.4,0.2,0,0.1,0,0,10
DA Miller,PP Chawla,0.3,0.5,0.1,0,0.1,0,0,10
M Vohra,CR Brathwaite,0.2,0.2,0,0,0.6,0,0,5
KK Nair,Yuvraj Singh,0.2,0.4,0.4,0,0,0,0,5
AJ Finch,I Sharma,0.4,0.3,0,0,0.3,0,0,10
BB McCullum,MJ McClenaghan,0.333333333,0.666666667,0,0,0,0,0,3
Shakib Al Hasan,MM Sharma,0.5,0.333333333,0.166666667,0,0,0,0,6
Q de Kock,MP Stoinis,0.333333333,0.222222222,0,0,0.222222222,0.111111111,0.111111111,9
KV Sharma,AF Milne,0.6,0,0,0,0.2,0.2,0,5
KS Williamson,Harbhajan Singh,0.75,0,0,0,0,0,0.25,4
Q de Kock,JP Faulkner,0.333333333,0.666666667,0,0,0,0,0,3
KP Pietersen,MM Sharma,0.5,0.5,0,0,0,0,0,4
PA Patel,AR Patel,0.272727273,0.636363636,0,0,0.090909091,0,0,11
SK Raina,TA Boult,0.666666667,0,0,0,0,0,0.333333333,3
S Dhawan,Mohammed Shami,0,0.5,0,0,0.5,0,0,2
Sachin Baby,AR Patel,0.285714286,0.285714286,0.285714286,0,0.142857143,0,0,7
MC Henriques,T Shamsi,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,0,6
AB de Villiers,MP Stoinis,0,0.666666667,0,0,0.333333333,0,0,3
SS Tiwary,STR Binny,0,0.666666667,0,0,0.333333333,0,0,3
BB McCullum,A Nehra,0.875,0.125,0,0,0,0,0,8
IK Pathan,SP Narine,0.25,0.5,0.25,0,0,0,0,4
M Vohra,CH Morris,0.25,0.25,0,0.25,0.25,0,0,4
BB McCullum,M Ashwin,0.25,0.625,0,0,0,0.125,0,8
KH Pandya,Bipul Sharma,0,0.5,0,0,0,0.5,0,6
SK Raina,GB Hogg,0.5,0.5,0,0,0,0,0,2
M Vohra,B Kumar,0.25,0.5,0,0,0.25,0,0,4
Yuvraj Singh,S Kaushik,0.666666667,0.222222222,0,0,0,0,0.111111111,9
BB McCullum,YS Chahal,0.5,0.333333333,0,0,0,0,0.166666667,6
Gurkeerat Singh,M Morkel,0,1,0,0,0,0,0,2
SE Marsh,Ankit Sharma,0.333333333,0.666666667,0,0,0,0,0,3
NLTC Perera,Sandeep Sharma,0.25,0.5,0,0,0,0,0.25,4
KS Williamson,A Zampa,0.142857143,0.714285714,0,0,0,0,0.142857143,7
MJ Guptill,S Nadeem,0.5,0.3,0,0.2,0,0,0,10
AD Russell,T Shamsi,0.2,0.2,0,0,0.2,0.4,0,5
UT Khawaja,CR Brathwaite,0.4,0.4,0,0,0.2,0,0,5
AM Rahane,PV Tambe,0.666666667,0,0,0,0.166666667,0,0.166666667,6
S Dhawan,Parvez Rasool,0.4,0.2,0,0,0.2,0,0.2,5
SV Samson,C Munro,0,1,0,0,0,0,0,1
KA Pollard,S Aravind,0,1,0,0,0,0,0,3
DA Warner,Iqbal Abdulla,0.25,0.5,0,0,0,0.25,0,4
CA Lynn,STR Binny,0,0.333333333,0.333333333,0,0,0.333333333,0,3
PP Chawla,Z Khan,0.333333333,0,0,0,0.333333333,0,0.333333333,3
JC Buttler,AB Dinda,0.5,0,0,0,0.5,0,0,2
SPD Smith,HV Patel,0.5,0,0,0,0.25,0,0.25,4
YK Pathan,Mohammed Shami,0,0.5,0.25,0,0.25,0,0,4
KL Rahul,DS Kulkarni,0.5,0.125,0,0,0,0.25,0.125,8
EJG Morgan,YS Chahal,0.666666667,0,0,0,0.333333333,0,0,3
SPD Smith,S Kaushik,0.272727273,0.272727273,0.181818182,0,0.090909091,0.181818182,0,11
GJ Bailey,Shakib Al Hasan,0.363636364,0.454545455,0,0,0.090909091,0.090909091,0,11
AD Nath,YS Chahal,0.5,0.25,0,0,0,0,0.25,4
MP Stoinis,CR Brathwaite,0.125,0.5,0.125,0,0.125,0.125,0,8
NLTC Perera,SR Watson,0.555555556,0.111111111,0.111111111,0,0,0.111111111,0.111111111,9
CR Brathwaite,PP Chawla,0.666666667,0,0,0,0,0.166666667,0.166666667,6
Q de Kock,DR Smith,0.375,0.5,0,0,0.125,0,0,8
PA Patel,P Sahu,0,0.75,0,0,0,0.25,0,8
F du Plessis,KW Richardson,0.666666667,0,0,0,0,0,0.333333333,3
Shakib Al Hasan,S Kaushik,0,1,0,0,0,0,0,2
NV Ojha,DJ Bravo,0.4,0.4,0,0,0,0,0.2,5
KS Williamson,AB Dinda,0.75,0.25,0,0,0,0,0,4
DJ Bravo,R Bhatia,0.333333333,0,0.333333333,0,0,0.333333333,0,3
KS Williamson,Kuldeep Yadav,0.4,0.4,0,0,0,0,0.2,5
AM Rahane,VR Aaron,0.25,0.333333333,0.083333333,0,0.25,0.083333333,0,12
KD Karthik,BCJ Cutting,0,1,0,0,0,0,0,2
GJ Bailey,M Morkel,0.6,0.2,0,0,0.2,0,0,5
SE Marsh,PP Chawla,0.2,0.6,0,0,0.2,0,0,5
MJ Guptill,DS Kulkarni,0.5,0.5,0,0,0,0,0,4
HM Amla,KV Sharma,0.272727273,0.545454545,0.090909091,0,0.090909091,0,0,11
JP Faulkner,MP Stoinis,0.25,0.625,0,0,0.125,0,0,8
KL Rahul,JJ Bumrah,0.333333333,0.333333333,0.166666667,0,0.083333333,0.083333333,0,12
KD Karthik,Imran Tahir,0.285714286,0.428571429,0,0,0,0.142857143,0.142857143,7
AM Rahane,CJ Jordan,0.181818182,0.363636364,0.181818182,0,0.090909091,0.090909091,0.090909091,11
R Sathish,Mustafizur Rahman,0.25,0.5,0.25,0,0,0,0,4
CH Morris,SR Watson,0.222222222,0.222222222,0.333333333,0,0.111111111,0,0.111111111,9
Harbhajan Singh,Mustafizur Rahman,0.583333333,0.333333333,0.083333333,0,0,0,0,12
DJ Hooda,NLTC Perera,0.8,0.2,0,0,0,0,0,5
CH Gayle,MJ McClenaghan,0.666666667,0.333333333,0,0,0,0,0,3
DR Smith,S Aravind,0.285714286,0.428571429,0,0,0,0.142857143,0.142857143,7
P Sahu,CH Morris,0.333333333,0.666666667,0,0,0,0,0,3
KK Nair,CJ Jordan,0,1,0,0,0,0,0,1
HM Amla,IK Pathan,0.5,0.25,0,0,0.25,0,0,8
DJ Bravo,CJ Jordan,0.333333333,0.333333333,0,0,0.333333333,0,0,3
KA Pollard,BB Sran,0.4,0.2,0,0,0.4,0,0,5
N Rana,KC Cariappa,0.666666667,0.111111111,0,0,0,0.222222222,0,9
DR Smith,R Ashwin,0.3,0.3,0,0,0.4,0,0,10
JC Buttler,R Bhatia,0.333333333,0.666666667,0,0,0,0,0,3
UT Khawaja,MM Sharma,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,7
DA Miller,NLTC Perera,0,0.333333333,0.666666667,0,0,0,0,3
YK Pathan,MM Sharma,0.142857143,0.571428571,0,0,0,0.142857143,0.142857143,7
KD Karthik,KW Richardson,0.285714286,0.428571429,0.285714286,0,0,0,0,7
P Negi,C Munro,0.8,0,0,0,0,0.2,0,5
JP Duminy,KA Pollard,0.333333333,0.333333333,0,0,0,0.333333333,0,3
HM Amla,S Nadeem,0.5,0.25,0,0,0,0,0.25,4
AT Rayudu,AR Patel,0.076923077,0.538461538,0,0,0.076923077,0.230769231,0.076923077,13
CR Brathwaite,CH Gayle,0.333333333,0.333333333,0,0,0,0,0.333333333,3
KM Jadhav,CH Morris,0.428571429,0.428571429,0,0,0.142857143,0,0,7
PP Chawla,DS Kulkarni,0.5,0.25,0,0,0.25,0,0,4
JP Faulkner,AR Patel,0.666666667,0.333333333,0,0,0,0,0,6
SS Tiwary,YS Chahal,0.545454545,0.181818182,0,0,0.181818182,0,0.090909091,11
SR Watson,Harbhajan Singh,0.333333333,0.666666667,0,0,0,0,0,3
Gurkeerat Singh,Shakib Al Hasan,0.25,0.5,0,0,0.25,0,0,4
CH Morris,Sandeep Sharma,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,7
RV Uthappa,STR Binny,0.5,0.333333333,0,0,0,0,0.166666667,6
MK Pandey,SR Watson,0.285714286,0.285714286,0,0,0.142857143,0.142857143,0.142857143,7
SV Samson,DS Kulkarni,0.75,0,0,0,0,0,0.25,4
KM Jadhav,A Nehra,0.333333333,0.333333333,0,0,0,0.333333333,0,3
HH Pandya,MG Johnson,0,0,0,0,1,0,0,1
PA Patel,SB Jakati,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,7
NLTC Perera,Mustafizur Rahman,0.166666667,0.666666667,0.166666667,0,0,0,0,6
KP Pietersen,SB Jakati,0.125,0.75,0,0,0.125,0,0,8
YK Pathan,SR Watson,0.25,0.25,0.083333333,0,0.333333333,0.083333333,0,12
Sachin Baby,MP Stoinis,0,0.666666667,0.333333333,0,0,0,0,3
AJ Finch,SP Narine,0.555555556,0.222222222,0,0,0.111111111,0.111111111,0,9
DJ Hooda,S Kaushik,0.444444444,0.444444444,0,0,0.111111111,0,0,9
MK Pandey,DS Kulkarni,0,1,0,0,0,0,0,1
BB McCullum,Imran Tahir,0.166666667,0.5,0.166666667,0,0.166666667,0,0,6
Harbhajan Singh,MC Henriques,0.375,0.375,0.125,0,0.125,0,0,8
AR Patel,AB Dinda,0,1,0,0,0,0,0,1
HM Amla,NLTC Perera,0.333333333,0.333333333,0,0,0,0.333333333,0,3
AJ Finch,TG Southee,0.384615385,0.384615385,0,0,0.230769231,0,0,13
V Kohli,Ankit Sharma,0.333333333,0.6,0.066666667,0,0,0,0,15
DR Smith,AS Rajpoot,0.5,0,0,0,0,0,0.5,2
JP Duminy,JP Faulkner,0.2,0.6,0.2,0,0,0,0,5
MS Dhoni,Harbhajan Singh,0.571428571,0.428571429,0,0,0,0,0,7
KD Karthik,SR Watson,0.285714286,0.571428571,0.071428571,0,0.071428571,0,0,14
SPD Smith,Shakib Al Hasan,0.428571429,0.571428571,0,0,0,0,0,7
B Kumar,SR Watson,0,1,0,0,0,0,0,1
LMP Simmons,RP Singh,0.571428571,0.285714286,0,0,0,0.142857143,0,7
RV Uthappa,A Ashish Reddy,0.666666667,0,0,0,0,0,0.333333333,3
P Negi,DJ Bravo,0,1,0,0,0,0,0,1
Yuvraj Singh,MM Sharma,0.166666667,0.5,0,0,0.166666667,0.166666667,0,12
Shakib Al Hasan,SR Watson,0.166666667,0.666666667,0,0,0,0.166666667,0,6
MJ McClenaghan,PP Chawla,0.25,0.25,0,0,0,0.5,0,4
RG Sharma,S Aravind,0,1,0,0,0,0,0,2
KA Pollard,AR Patel,0.4,0.2,0,0.2,0,0.2,0,5
KC Cariappa,P Kumar,0.333333333,0.333333333,0,0,0,0,0.333333333,3
AT Rayudu,MG Johnson,0.4,0.4,0,0,0.2,0,0,5
G Gambhir,Swapnil Singh,0.285714286,0.428571429,0.142857143,0,0,0.142857143,0,7
CH Morris,YS Chahal,0.5,0.166666667,0.166666667,0,0.166666667,0,0,6
V Kohli,KC Cariappa,0.352941176,0.176470588,0,0,0.058823529,0.352941176,0.058823529,17
MS Dhoni,UT Yadav,0.25,0.25,0.5,0,0,0,0,4
AB de Villiers,TG Southee,0.5,0.333333333,0,0,0.166666667,0,0,6
TM Head,RP Singh,0.4,0.6,0,0,0,0,0,5
JP Duminy,PV Tambe,0,0.5,0.5,0,0,0,0,2
Gurkeerat Singh,RA Jadeja,0.75,0,0,0,0,0,0.25,4
SS Iyer,JJ Bumrah,0,0,1,0,0,0,0,1
S Dhawan,JJ Bumrah,0.375,0.3125,0,0,0.25,0.0625,0,16
SR Watson,BB Sran,0,1,0,0,0,0,0,1
AT Rayudu,MM Sharma,0,1,0,0,0,0,0,4
F du Plessis,DJ Bravo,0.333333333,0.5,0,0,0,0.166666667,0,6
S Dhawan,AB Dinda,0.631578947,0.157894737,0.052631579,0,0.105263158,0,0.052631579,19
JC Buttler,SM Boland,0,0.5,0.5,0,0,0,0,2
SA Yadav,Bipul Sharma,0.333333333,0.333333333,0.333333333,0,0,0,0,3
SR Watson,BCJ Cutting,0,1,0,0,0,0,0,2
AR Patel,Mustafizur Rahman,0.25,0.75,0,0,0,0,0,4
M Vijay,PJ Sangwan,0.545454545,0,0.090909091,0,0.272727273,0.090909091,0,11
JC Buttler,P Kumar,0.75,0.083333333,0,0,0.166666667,0,0,12
SPD Smith,Mustafizur Rahman,0.538461538,0.076923077,0.076923077,0,0.307692308,0,0,13
MC Henriques,Harbhajan Singh,0.375,0.375,0,0,0.125,0.125,0,8
M Vohra,RA Jadeja,0.625,0,0.125,0,0,0.125,0.125,8
RG Sharma,S Nadeem,0.25,0.375,0,0,0.125,0.25,0,8
RR Pant,KV Sharma,0.166666667,0.5,0.166666667,0,0.166666667,0,0,6
AB de Villiers,M Ashwin,0.125,0.25,0.125,0,0.25,0.25,0,8
UT Khawaja,Sandeep Sharma,0.333333333,0.666666667,0,0,0,0,0,6
JP Duminy,Harbhajan Singh,0.333333333,0.666666667,0,0,0,0,0,3
MJ Guptill,Z Khan,0.7,0.2,0,0,0,0,0.1,10
DA Warner,NM Coulter-Nile,0.333333333,0.333333333,0.166666667,0,0.166666667,0,0,12
SK Raina,BB Sran,0.153846154,0.538461538,0.153846154,0,0.153846154,0,0,13
SV Samson,RA Jadeja,0.222222222,0.444444444,0.111111111,0,0.111111111,0.111111111,0,9
YK Pathan,Z Khan,1,0,0,0,0,0,0,2
DA Warner,CR Brathwaite,0.307692308,0.307692308,0.230769231,0,0,0.076923077,0.076923077,13
WP Saha,MJ McClenaghan,0.5,0,0,0,0.25,0,0.25,4
KD Karthik,SP Narine,0,1,0,0,0,0,0,1
R Bhatia,UT Yadav,0,1,0,0,0,0,0,1
Ishan Kishan,Sandeep Sharma,0.333333333,0.333333333,0,0,0.333333333,0,0,3
MC Henriques,A Zampa,0.333333333,0.5,0,0,0,0,0.166666667,6
KD Karthik,S Aravind,0.5,0.5,0,0,0,0,0,2
SR Watson,TG Southee,0.2,0.4,0.2,0,0.2,0,0,5
S Dhawan,MP Stoinis,0,1,0,0,0,0,0,1
Iqbal Abdulla,SB Jakati,0.166666667,0.666666667,0,0,0,0.166666667,0,6
GJ Bailey,Mohammed Shami,1,0,0,0,0,0,0,1
JC Buttler,R Ashwin,0,1,0,0,0,0,0,1
BCJ Cutting,Sandeep Sharma,0.4,0,0.4,0,0,0.2,0,5
Sachin Baby,KC Cariappa,0.285714286,0.428571429,0.285714286,0,0,0,0,7
AD Russell,CR Brathwaite,0,0.5,0,0,0.5,0,0,2
NV Ojha,NM Coulter-Nile,0.454545455,0.272727273,0.090909091,0,0.090909091,0,0.090909091,11
RR Pant,IK Pathan,1,0,0,0,0,0,0,1
MC Henriques,YK Pathan,0.2,0.6,0,0,0,0.2,0,5
